prompt,generated_text,generation_time
a part . It bears the,same time.,1.9108352661132812
"11 , but lost in another",.,1.8752655982971191
the JMA upgraded the depression,", and the same time.",1.8784236907958984
"Herbert , and worked to",the same time.,1.8839869499206543
"1916 volumes , making him the",same time.,1.8833754062652588
". <unk> , <",div>,1.8898556232452393
Turret No. 5 that,the same time.,1.882925271987915
"Armour ( shoes ) , Muscle","Shoals, and the same time.",1.8882241249084473
be needed came on the morning,", and the same time.",1.8700931072235107
"when dipped in water , will",be a new to the same time.,1.8821890354156494
similar species . <unk>,,1.8814318180084229
"game on April 4 , 2011",", and the same time.",1.8904163837432861
to the state of New York,", and the same time.",1.8857026100158691
became Nero 's mistress in,the same time.,1.8908586502075195
Citizens Defence Association ( <unk,", and the same time.",1.8946423530578613
at the stern . It over,the same time.,1.8876490592956543
. <unk> was later,", and the same time.",1.8877830505371094
archaeological exploration of La Venta,),1.896413803100586
metres to the west of Monument,", and the same time.",1.8784794807434082
in ' A ' Squadron were,not be a new to the same time.,1.883030891418457
"27 October , Ozawa transferred",to the same time.,1.8899216651916504
difficult because of the movement of,the same time.,1.889352560043335
", and <unk> in",the same time.,1.8884766101837158
were based on Walt Disney cartoon,"ist, and the same time.",1.8889775276184082
shellfire against ironclads,_1.,1.8880858421325684
", and with the largest set",of the same time.,1.8849315643310547
career with Crewe Alexandra ',\mathcal{},1.8847458362579346
city serves as the base for,the same time.,1.9088490009307861
@ ni and then turned northeast,of the same time.,1.8954358100891113
earthquakes of the 18th and,the same time.,1.9022293090820312
Citizen science site Cyclone Center,for the same time.,1.9055001735687256
", it 's about an",important to the same time.,1.892134428024292
was sold to Bulgaria in May,", and the same time.",1.8952038288116455
which included the fitting of an,important to the same time.,1.8924822807312012
"= In late May , an",important to the same time.,1.893580675125122
weight with a higher rate of,the same time.,1.8960745334625244
the song 's music video,", and the same time.",1.8886723518371582
regular and intensive repairs than wooden,spoon.,1.8914246559143066
"to organize , and the next",to the same time.,1.8859331607818604
"August 2012 , after Coleman had",been a new to the same time.,1.893355131149292
were addressed variously as <,div>,1.9013326168060303
"against Angle , Haas , and",the same time.,1.9041450023651123
Winthrop House 's buildings,", and the same time.",1.8935298919677734
View ( <unk> ),,1.903726577758789
by community activists for the first,time.,1.8920814990997314
the Prince of Wales serving as,a new to the same time.,1.8972764015197754
"of swamp and jungle , and",the same time.,1.8891985416412354
's view of Angela —,||,1.8925106525421143
"Fight Club , Bringing Out the",same time.,1.895125150680542
"education since the colonial period ,",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",1.8863162994384766
in the early 1970s .,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,1.8854694366455078
perhaps the drink helped me to,the same time.,1.8905880451202393
as an actor and a singer,"-type=""fig""}).",1.89992356300354
"focuses on Ezra Greer ,",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",2.006169557571411
to become the commander of a,new to the same time.,1.9048326015472412
Dürenstein and <,div>,1.8961637020111084
"goal , Kershaw pledged a",new to the same time.,1.8913378715515137
athletes — one man ( 30,", and the same time.",1.886648416519165
Greek clothing was old fashioned .,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,1.8936724662780762
in 1808 in a backlash,.,1.898789644241333
s younger brother . His father,", and the same time.",1.8952174186706543
", where his representative , Andrew",'s a new to the same time.,1.8897788524627686
ña ) = = = Kro,ger.,1.8904938697814941
– 87 miles per hour (,1.,1.889329195022583
", and ' C ' Squadron",", and the same time.",1.8887348175048828
", but when he went for",the same time.,1.8950059413909912
total thickness of 140 mm .,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,1.8902251720428467
epithet of Chinese critics is,a new to the same time.,1.8931653499603271
repertoire includes a four @-,"type=""fig""}).",1.8882758617401123
"the legislature relented , eventually",", and the same time.",1.8955106735229492
studies of temnospond,ition of the same time.,1.8935716152191162
"> College , established in November",", and the same time.",1.895397663116455
sense of loyalty to the de,"la Commission, and the same time.",1.8941757678985596
unk> who slandered,saline (1.,1.8979361057281494
"CD single "" Kiss You """,The present invention relates to the same time.,1.8920111656188965
"is still evident , a feature",of the same time.,1.8973770141601562
originally used a Spanish villa,),1.8936138153076172
= North Korean crossing = =,-1.,1.8884148597717285
Butler completed an 18 – 0,.,1.8952741622924805
@-@ 5 were transferred,to the same time.,1.8865489959716797
res <unk> . Under,the same time.,1.8928687572479248
next faced off with thir,.,1.9022188186645508
""" ) . The Duplex","us, and the same time.",1.8922569751739502
SportsCenter that he had re,"-type=""fig""}).",1.8961472511291504
advisories differ from the Joint,Committee of the same time.,1.8950128555297852
engines could give her a speed,of the same time.,1.8913822174072266
"of the March 29 , 1976",", and the same time.",1.89927077293396
"rank , race or creed .",. . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,1.889554500579834
embarked on a world tour to,the same time.,1.898155689239502
. Then he goes to the,same time.,1.8968861103057861
under government franchise . The city,of the same time.,1.8962221145629883
2012 as a three @-,"type=""fig""}).",1.8956573009490967
US Navy to join in the,same time.,1.906562089920044
decision to renew relations with the,same time.,1.9075720310211182
"was the simpler and , during",the same time.,1.9122462272644043
Rizal Park . R,.,1.9236476421356201
estanding four @-@,B.,1.907571792602539
N to realize that battleships,", and the same time.",1.9067332744598389
"more difficult , but not impossible",to the same time.,1.9120209217071533
of Somali President Siad Bar,"row, and the same time.",1.896646499633789
