prompt,generated_text,generation_time
"most of a day , forcing"," me to take a break from the game.
",1.4369654655456543
a part . It bears the," name of the first author.

The author",0.8672900199890137
"11 , but lost in another"," way.

The first thing I noticed was",0.8649840354919434
the JMA upgraded the depression," to a major depression.

The JMA",0.8304018974304199
"Herbert , and worked to"," improve the quality of the service.

The",0.8339807987213135
"1916 volumes , making him the", first American to win the Pulitzer Prize for his,0.8899314403533936
". <unk> , <","unk>, <unk>, <unk>",0.8934001922607422
Turret No. 5 that, was built in the early 1900s. The tur,0.8940372467041016
"Armour ( shoes ) , Muscle"," ( shoes ), Muscle ( shoes ),",0.9359602928161621
be needed came on the morning," of the first day of the trial.

",0.8855772018432617
"when dipped in water , will"," be able to reach the surface of the water
",0.8908412456512451
similar species . <unk>,"

<unk>

<unk>",0.7463870048522949
"game on April 4 , 2011",".

The game was released on the Nintendo",0.7589840888977051
to the state of New York,", and the state of New York, and the",0.7246878147125244
became Nero 's mistress in," the early years of the Republic.

The",0.726708173751831
Citizens Defence Association ( <unk,"> )

<unk> ( <unk",0.743389368057251
at the stern . It over,"came the

difficulty of the first
",0.7288987636566162
. <unk> was later," removed from the list of supported languages.
<",0.7376577854156494
archaeological exploration of La Venta,", the first archaeological site in the country, and",0.736865758895874
metres to the west of Monument,", and the north-east of the town to",0.7563436031341553
in ' A ' Squadron were," the first to be shot down.

The",0.7364764213562012
"27 October , Ozawa transferred", to the Kobe-based Kobe-based,0.7259588241577148
difficult because of the movement of," the body.

The first step in the",0.716552734375
", and <unk> in"," the
<jrib>!info libre",0.7230205535888672
were based on Walt Disney cartoon," characters.

The first film was released in",0.7305088043212891
shellfire against ironclads,".

The first of the two ships was",0.7311728000640869
", and with the largest set"," of data on the subject.

The data",0.7314009666442871
career with Crewe Alexandra ',"s new manager, Alexis Sanchez.

",0.7303054332733154
city serves as the base for," the city’s other major cities, including the",0.739520788192749
@ ni and then turned northeast,".

The next day, the two men",0.7451076507568359
earthquakes of the 18th and," 19th centuries.

The first recorded earthquake",0.7422761917114258
Citizen science site Cyclone Center,"

The Cyclone Center is a public information",0.742034912109375
", it 's about an", hour and a half from here to the airport.,0.7277734279632568
was sold to Bulgaria in May,", and the company was renamed in the country's",0.7326571941375732
which included the fitting of an," additional set of

sensors to the vehicle.",0.7385387420654297
"= In late May , an", article in the New York Times reported that the U,0.8168320655822754
weight with a higher rate of," weight loss than the control group.

The",0.8012325763702393
the song 's music video,", which was released on the same day as the",0.7488431930541992
regular and intensive repairs than wooden," ones.

The new model is a new",0.7518346309661865
"to organize , and the next"," day, the first of the three, the
",0.7359812259674072
"August 2012 , after Coleman had"," been released from prison, he was arrested and charged",0.7332088947296143
were addressed variously as <,"a href=""http://www.w3.",0.7351686954498291
"against Angle , Haas , and"," the other two.

The first two games",0.7382056713104248
Winthrop House 's buildings,", and the
  ""Winthrop House",0.7333288192749023
View ( <unk> ),"

<unk>

<unk>",0.7245891094207764
by community activists for the first," time in the history of the United States.
",0.7171812057495117
the Prince of Wales serving as," the King of England.

The Prince of",0.7221217155456543
"of swamp and jungle , and"," the

southernmost of the great rivers",0.7954485416412354
's view of Angela —, and the rest of the world — is that she,0.7254853248596191
"Fight Club , Bringing Out the"," Beast, and The Last of Us.

",0.7691113948822021
"education since the colonial period ,", and the first of the three schools to be established,0.7279870510101318
in the early 1970s .,"

The first of the two-part series",0.7240495681762695
perhaps the drink helped me to," understand the meaning of the
words.

",0.7240674495697021
as an actor and a singer,", and he has been a member of the band",0.7587571144104004
"focuses on Ezra Greer ,", who is a former member of the House of Representatives,0.7779700756072998
to become the commander of a," new force, the
Army of the United",0.7325077056884766
Dürenstein and <,"span style=""font-variant:small-caps",0.8176746368408203
"goal , Kershaw pledged a", return to the club after a season in which he,0.7465827465057373
athletes — one man ( 30, ) and one woman ( 30 ) — were the,0.7358808517456055
Greek clothing was old fashioned .,.. and the women were not dressed in the,0.7360954284667969
in 1808 in a backlash," against the British government.

The British government",0.8101589679718018
s younger brother . His father," was a member of the Royal Navy.

",0.8130893707275391
", where his representative , Andrew"," B. Haines, was present.

",0.8190457820892334
ña ) = = = Kro,kodilis ( ) = = = Krok,0.7312226295471191
– 87 miles per hour (,"about 40 mph)

The first two days",0.715576171875
", and ' C ' Squadron",", which is a very good one.

",0.7398529052734375
", but when he went for"," a walk, he was stopped by a man who",0.7246010303497314
total thickness of 140 mm ., The thickness of the skin is measured by a digital,0.7248241901397705
epithet of Chinese critics is," that they are not
""the people of the",0.7310957908630371
repertoire includes a four @-,"sides, a four @-sides,",0.7388036251068115
"the legislature relented , eventually",", and the bill was passed.

The",0.7162556648254395
studies of temnospond,yls and the evolution of the genus *T,0.718529224395752
"> College , established in November",", 2013.

, established in November,",0.7369520664215088
sense of loyalty to the de,"ities of the universe.

The first thing",0.723351240158081
unk> who slandered," me?
<jrib>!slander",0.8478717803955078
"CD single "" Kiss You ""","

""I'm a girl, I'm",0.8119790554046631
"is still evident , a feature"," that is not present in the original data.
",0.7214057445526123
originally used a Spanish villa," in the 17th century, but it was later",0.7326235771179199
= North Korean crossing = =," North Korean crossing

References

Category:",0.7299947738647461
Butler completed an 18 – 0, victory over the New York Red Bulls in the first,0.732825517654419
@-@ 5 were transferred," to the Department of Health and Social Services, and",0.7252476215362549
res <unk> . Under," the hood, the compiler is responsible for
  ",0.7423343658447266
next faced off with thir,"teenth-year-old Alexis, who was",0.710871696472168
""" ) . The Duplex"," is a "" "" "" "" "" "" "" """,0.7163538932800293
SportsCenter that he had re,"-signed with the team.

""I",0.7091119289398193
advisories differ from the Joint, Commission on Accreditation of Healthcare Organizations (J,0.7217264175415039
engines could give her a speed," of up to 200 mph.

The car",0.7239406108856201
"of the March 29 , 1976",", meeting of the Board of Directors of the
",0.723966121673584
"rank , race or creed .","..

The first thing I did was",0.7429702281951904
embarked on a world tour to," promote the film.

The film was released",0.774827241897583
. Then he goes to the," kitchen and says, ""I'm going to the",0.823406457901001
under government franchise . The city, of Kolkata has been the home of the,0.8299643993377686
2012 as a three @-,"2.5-inch, 1.5-",0.7454133033752441
US Navy to join in the," fight against the Islamic State.

The US",0.7430007457733154
decision to renew relations with the," United States.

The United States has been",0.7389547824859619
"was the simpler and , during"," the time of the

_Battle of",0.845116376876831
Rizal Park . R,izal Park is a popular tourist destination in the,0.8416147232055664
estanding four @-@,-@-@-@-@-@,0.8421304225921631
N to realize that battleships," are not the only ships in the world.
",0.8453309535980225
"more difficult , but not impossible",".

The first step is to find a",0.8385369777679443
of Somali President Siad Bar,"re, who was assassinated in a car crash",0.8578908443450928
